League,LeagueName,Country,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Status,IsUpcoming
E0,Premier League,England,2026-09-04,19:00,Ipswich,Liverpool,,,,TIMED,True
E0,Premier League,England,2026-09-05,11:30,Newcastle,Bournemouth,,,,TIMED,True
E0,Premier League,England,2026-09-05,14:00,Nott'm Forest,Tottenham,,,,TIMED,True
E0,Premier League,England,2026-09-05,14:00,Man City,Coventry,,,,TIMED,True
E0,Premier League,England,2026-09-05,14:00,Brighton,Leeds,,,,TIMED,True
E0,Premier League,England,2026-09-05,14:00,Brentford,Sunderland,,,,TIMED,True
E0,Premier League,England,2026-09-05,14:00,Fulham,Crystal Palace,,,,TIMED,True
E0,Premier League,England,2026-09-05,16:30,Hull,Aston Villa,,,,TIMED,True
E0,Premier League,England,2026-09-06,13:00,Everton,Man United,,,,TIMED,True
E0,Premier League,England,2026-09-06,15:30,Arsenal,Chelsea,,,,TIMED,True
D1,Bundesliga,Germany,2026-09-04,18:30,Stuttgart,FC Koln,,,,TIMED,True
D1,Bundesliga,Germany,2026-09-05,13:30,Werder Bremen,RB Leipzig,,,,TIMED,True
D1,Bundesliga,Germany,2026-09-05,13:30,Hoffenheim,Dortmund,,,,TIMED,True
D1,Bundesliga,Germany,2026-09-05,13:30,Leverkusen,Union Berlin,,,,TIMED,True
D1,Bundesliga,Germany,2026-09-05,13:30,M'gladbach,SV 07 Elversberg,,,,TIMED,True
D1,Bundesliga,Germany,2026-09-05,13:30,SC Paderborn 07,Freiburg,,,,TIMED,True
D1,Bundesliga,Germany,2026-09-05,16:30,FC Schalke 04,Bayern Munich,,,,TIMED,True
D1,Bundesliga,Germany,2026-09-06,13:30,Hamburg,Mainz,,,,TIMED,True
D1,Bundesliga,Germany,2026-09-06,15:30,Ein Frankfurt,Augsburg,,,,TIMED,True
D1,Bundesliga,Germany,2026-09-11,18:30,Union Berlin,FC Schalke 04,,,,TIMED,True
I1,Serie A,Italy,2026-09-04,18:45,Genoa,Como,,,,TIMED,True
I1,Serie A,Italy,2026-09-05,13:00,Fiorentina,Torino,,,,TIMED,True
I1,Serie A,Italy,2026-09-05,16:00,Inter,Napoli,,,,TIMED,True
I1,Serie A,Italy,2026-09-05,18:45,Roma,Atalanta,,,,TIMED,True
I1,Serie A,Italy,2026-09-06,13:00,Parma,AC Monza,,,,TIMED,True
I1,Serie A,Italy,2026-09-06,13:00,Frosinone Calcio,Venezia FC,,,,TIMED,True
I1,Serie A,Italy,2026-09-06,16:00,Bologna,Sassuolo,,,,TIMED,True
I1,Serie A,Italy,2026-09-06,18:45,Juventus,Milan,,,,TIMED,True
I1,Serie A,Italy,2026-09-07,16:30,Cagliari,Lecce,,,,TIMED,True
I1,Serie A,Italy,2026-09-07,18:45,Udinese,Lazio,,,,TIMED,True
I1,Serie A,Italy,2026-09-11,18:45,Venezia FC,Fiorentina,,,,TIMED,True
SP1,La Liga,Spain,2026-09-03,19:00,Sociedad,Celta,,,,TIMED,True
SP1,La Liga,Spain,2026-09-04,19:00,Betis,Real Madrid,,,,TIMED,True
SP1,La Liga,Spain,2026-09-05,14:15,Ath Bilbao,Ath Madrid,,,,TIMED,True
SP1,La Liga,Spain,2026-09-05,16:30,Vallecano,Real Racing Club de Santander,,,,TIMED,True
SP1,La Liga,Spain,2026-09-05,19:00,Villarreal,RC Deportivo La Coruña,,,,TIMED,True
SP1,La Liga,Spain,2026-09-06,14:15,Valencia,Barcelona,,,,TIMED,True
SP1,La Liga,Spain,2026-09-06,16:30,Alaves,Osasuna,,,,TIMED,True
SP1,La Liga,Spain,2026-09-06,16:30,Málaga CF,Levante,,,,TIMED,True
SP1,La Liga,Spain,2026-09-06,19:00,Espanol,Sevilla,,,,TIMED,True
SP1,La Liga,Spain,2026-09-07,17:00,Getafe,Celta,,,,TIMED,True
SP1,La Liga,Spain,2026-09-07,19:30,Elche,Sociedad,,,,TIMED,True
SP1,La Liga,Spain,2026-09-11,19:00,Sevilla,Valencia,,,,TIMED,True
F1,Ligue 1,France,2026-09-03,18:45,Toulouse,Lille,,,,TIMED,True
F1,Ligue 1,France,2026-09-04,17:00,Lyon,Auxerre,,,,TIMED,True
F1,Ligue 1,France,2026-09-04,19:05,Paris SG,Monaco,,,,TIMED,True
F1,Ligue 1,France,2026-09-05,15:15,Lens,Lorient,,,,TIMED,True
F1,Ligue 1,France,2026-09-05,18:45,Le Havre,Brest,,,,TIMED,True
F1,Ligue 1,France,2026-09-05,18:45,Nice,Le Mans FC,,,,TIMED,True
F1,Ligue 1,France,2026-09-06,13:00,ES Troyes AC,Strasbourg,,,,TIMED,True
F1,Ligue 1,France,2026-09-06,15:15,Angers,Rennes,,,,TIMED,True
